,title,XP,test_icons,traits,faction,ability,type,flavor,artist,expansion
0,"""As you wish""",0,WILD WILD WILD,Practiced. Expert.,Neutral,"Carson Sinclair deck only.Commit only to a skill test being performed by another investigator.If this test succeeds, the performing investigator draws 1 card. If this test fails, you draw 1 card.",Skill,,Tiziano Baracchi,The Scarlet Keys Investigator Expansion #2
1,"""Not without a fight!""",0,WILLPOWER COMBAT AGILITY,Innate.,Survivor,"Commit to a skill test only if you are engaged with an enemy.For each enemy engaged with you, ""Not without a fight!"" gains WILLPOWER COMBAT AGILITY.",Skill,,Aurore Folny,Black Stars Rise #272
2,"""Watch this!""",0,WILLPOWER COMBAT AGILITY,Gambit.,Rogue,"Commit only to a skill test you are performing. As an additional cost to commit ""Watch this!"" to a skill test, spend up to 3 resources.If you succeed by 1 or more, gain twice that many resources.",Skill,Show-off.,Andreia Ugrai,The Pallid Mask #233
3,Able Bodied,0,COMBAT AGILITY,Innate.,Survivor,"While you control 2 or fewer <i>Item</i></b> assets, Able Bodied gains COMBAT AGILITY (while you control 1 or fewer <i>Item</i></b> assets, Able Bodied gains COMBAT COMBAT AGILITY AGILITY, instead).",Skill,,Anna Steinbauer,The Circle Undone #38
4,Accursed,0,WILD,Innate. Cursed.,Mystic,"When you commit Accursed to a skill test, add up to 3 <span class=""icon-curse"" title=""Curse""></span> tokens to the chaos bag. During this skill test, treat the modifier of each <span class=""icon-curse"" title=""Curse""></span> token revealed as 0.",Skill,Not all who wander are lost.,David Hovey,The Feast of Hemlock Vale Investigator Expansion #95
5,All In,XP: 5.,WILD WILD,Fortune.,Rogue,"Max 1 committed per skill test.If this test is successful, draw 1 card for each point you succeeded by, to a maximum of 5. Shuffle each weakness drawn by this effect back into your deck without resolving it.",Skill,,Borja Pindado,Shattered Aeons #309
6,Analysis,0,WILD,Practiced.,Seeker,"After revealing a chaos token for this skill test, you may place 1 of your clues on your location to cancel that chaos token, return it to the chaos bag, and reveal a new one. <i>(You may do this any number of times.)</i>",Skill,,Roberto Campus,The Scarlet Keys Investigator Expansion #49
7,"Anything You Can Do, Better",0,WILD WILD WILD WILD WILD WILD,Innate. Developed.,Rogue,Winifred Habbamock deck only.Commit only to a skill test you are performing.,Skill,"""Told you.""",Patrick McEvoy,Winifred Habbamock #2
8,Arrogance,0,WILD,Flaw.,Neutral,"You must commit Arrogance to each eligible skill test you perform.This skill's icons subtract from your skill value instead of adding to it.If this test succeeds, return this skill to your hand.",Skill. Weakness,,Robert Laskey,Winifred Habbamock #3
9,Beloved,0,WILD WILLPOWER AGILITY,Innate. Blessed.,Survivor,"If a <span class=""icon-bless"" title=""Bless""></span> token is revealed during this test, you may remove Beloved from the game to replace that token's effects with the following: ""You automatically succeed. <i>(Do not reveal another token. Return this token to the chaos bag after this test ends)</i>.""",Skill,Love is perhaps the strongest spell of all.,Derek D. Edgell,The Innsmouth Conspiracy #36
